"","roster_id","team","wk","matchup_id","points","opp_id","opp_team","opp_points","starters","full_name","starters_points","starter_slot","year"
"1",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"4017","Deshaun Watson",30.72,"QB",2019
"2",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"4029","Dalvin Cook",24,"RB1",2019
"3",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"1833","Damien Williams",12.5,"RB2",2019
"4",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"3199","Michael Thomas",12.3,"WR1",2019
"5",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"4040","JuJu Smith-Schuster",7.8,"WR2",2019
"6",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"1479","Keenan Allen",18.3,"WR3",2019
"7",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"1466","Travis Kelce",8.8,"TE",2019
"8",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"4962","Sony Michel",1.4,"FLEX",2019
"9",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"1181","Luke Kuechly",9,"DFLEX",2019
"10",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"110","Stephen Gostkowski",17,"K",2019
"11",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"856","J.J. Watt",0,"DL1",2019
"12",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"957","Cameron Jordan",10,"DL2",2019
"13",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"4110","Zach Cunningham",5,"LB1",2019
"14",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"1905","Christian Kirksey",7,"LB2",2019
"15",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"2338","Landon Collins",7,"DB1",2019
"16",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"1617","Bradley McDougald",6,"DB2",2019
"17",1,"Mingo",1,4,187.82,6,"Frazier",137.16,"2445","Adrian Amos",11,"DB3",2019
"18",2,"Tim",1,2,188.52,4,"Dan",181.02,"96","Aaron Rodgers",12.92,"QB",2019
