"","roster_id","team","wk","matchup_id","points","opp_id","opp_team","opp_points","starters","full_name","starters_points","starter_slot","year"
"1188",10,"Dave",6,5,199.89,7,"Carter",157.41,3230,"Vonn Bell",9.75,"DB2",2021
"1189",10,"Dave",6,5,199.89,7,"Carter",157.41,3181,"Keanu Neal",3,"DB3",2021
"1190",10,"Dave",6,5,199.89,7,"Carter",157.41,4118,"Alex Anzalone",6.75,"DFLEX",2021
"1191",11,"Collin",6,4,190.46,6,"Frazier",190.76,2152,"Teddy Bridgewater",21.26,"QB",2021
"1192",11,"Collin",6,4,190.46,6,"Frazier",190.76,5549,"Darrel Williams",23.65,"RB1",2021
"1193",11,"Collin",6,4,190.46,6,"Frazier",190.76,6845,"Zack Moss",4.9,"RB2",2021
"1194",11,"Collin",6,4,190.46,6,"Frazier",190.76,5045,"Courtland Sutton",19.4,"WR1",2021
"1195",11,"Collin",6,4,190.46,6,"Frazier",190.76,7525,"DeVonta Smith",4.1,"WR2",2021
"1196",11,"Collin",6,4,190.46,6,"Frazier",190.76,7090,"Darnell Mooney",13,"WR3",2021
"1197",11,"Collin",6,4,190.46,6,"Frazier",190.76,6074,"Donald Parham",2,"TE",2021
"1198",11,"Collin",6,4,190.46,6,"Frazier",190.76,5024,"James Washington",1.4,"FLEX",2021
"1199",11,"Collin",6,4,190.46,6,"Frazier",190.76,59,"Mason Crosby",6,"K",2021
"1200",11,"Collin",6,4,190.46,6,"Frazier",190.76,7627,"Gregory Rousseau",2.5,"DL1",2021
"1201",11,"Collin",6,4,190.46,6,"Frazier",190.76,3303,"Matt Judon",7.5,"DL2",2021
"1202",11,"Collin",6,4,190.46,6,"Frazier",190.76,5348,"Kyzir White",24.5,"LB1",2021
"1203",11,"Collin",6,4,190.46,6,"Frazier",190.76,4413,"Eric Wilson",1.5,"LB2",2021
"1204",11,"Collin",6,4,190.46,6,"Frazier",190.76,4963,"Minkah Fitzpatrick",14.25,"DB1",2021
"1205",11,"Collin",6,4,190.46,6,"Frazier",190.76,6968,"Jordan Fuller",12.25,"DB2",2021
"1206",11,"Collin",6,4,190.46,6,"Frazier",190.76,6809,"Trevon Diggs",19.25,"DB3",2021
"1207",11,"Collin",6,4,190.46,6,"Frazier",190.76,7155,"Tae Crowder",13,"DFLEX",2021
"1208",12,"Riley",6,6,166.8,9,"Calvin",201.85,6797,"Justin Herbert",12,"QB",2021
"1209",12,"Riley",6,6,166.8,9,"Calvin",201.85,7588,"Javonte Williams",9.55,"RB1",2021
"1210",12,"Riley",6,6,166.8,9,"Calvin",201.85,6828,"AJ Dillon",5.9,"RB2",2021
"1211",12,"Riley",6,6,166.8,9,"Calvin",201.85,6886,"Chase Claypool",2.7,"WR1",2021
"1212",12,"Riley",6,6,166.8,9,"Calvin",201.85,5848,"Marquise Brown",5.5,"WR2",2021
"1213",12,"Riley",6,6,166.8,9,"Calvin",201.85,6819,"Michael Pittman",4.8,"WR3",2021
"1214",12,"Riley",6,6,166.8,9,"Calvin",201.85,3214,"Hunter Henry",9.5,"TE",2021
"1215",12,"Riley",6,6,166.8,9,"Calvin",201.85,6789,"Henry Ruggs",17.2,"FLEX",2021
"1216",12,"Riley",6,6,166.8,9,"Calvin",201.85,5119,"Jason Sanders",6,"K",2021
"1217",12,"Riley",6,6,166.8,9,"Calvin",201.85,5840,"Josh Allen",10.25,"DL1",2021
"1218",12,"Riley",6,6,166.8,9,"Calvin",201.85,4135,"Trey Hendrickson",10.5,"DL2",2021
"1219",12,"Riley",6,6,166.8,9,"Calvin",201.85,6781,"Isaiah Simmons",9,"LB1",2021
"1220",12,"Riley",6,6,166.8,9,"Calvin",201.85,5944,"Bobby Okereke",16,"LB2",2021
"1221",12,"Riley",6,6,166.8,9,"Calvin",201.85,6152,"Khari Willis",18.25,"DB1",2021
"1222",12,"Riley",6,6,166.8,9,"Calvin",201.85,6788,"Xavier McKinney",17.75,"DB2",2021
"1223",12,"Riley",6,6,166.8,9,"Calvin",201.85,5341,"Taron Johnson",6,"DB3",2021
"1224",12,"Riley",6,6,166.8,9,"Calvin",201.85,5843,"Devin Bush",5.9,"DFLEX",2021
"1225",1,"Mingo",7,1,190.36,4,"Dan",171.64,96,"Aaron Rodgers",30.66,"QB",2021
"1226",1,"Mingo",7,1,190.36,4,"Dan",171.64,5549,"Darrel Williams",6.5,"RB1",2021
"1227",1,"Mingo",7,1,190.36,4,"Dan",171.64,4199,"Aaron Jones",6.4,"RB2",2021
"1228",1,"Mingo",7,1,190.36,4,"Dan",171.64,2216,"Mike Evans",28.6,"WR1",2021
"1229",1,"Mingo",7,1,190.36,4,"Dan",171.64,6801,"Tee Higgins",9.7,"WR2",2021
"1230",1,"Mingo",7,1,190.36,4,"Dan",171.64,1426,"DeAndre Hopkins",14.8,"WR3",2021
"1231",1,"Mingo",7,1,190.36,4,"Dan",171.64,1466,"Travis Kelce",10,"TE",2021
"1232",1,"Mingo",7,1,190.36,4,"Dan",171.64,5980,"Myles Gaskin",15.7,"FLEX",2021
"1233",1,"Mingo",7,1,190.36,4,"Dan",171.64,6083,"Matt Gay",9,"K",2021
"1234",1,"Mingo",7,1,190.36,4,"Dan",171.64,6782,"Chase Young",3.5,"DL1",2021
"1235",1,"Mingo",7,1,190.36,4,"Dan",171.64,4063,"Haason Reddick",6.25,"DL2",2021
"1236",1,"Mingo",7,1,190.36,4,"Dan",171.64,1233,"Bobby Wagner",7.75,"LB1",2021
"1237",1,"Mingo",7,1,190.36,4,"Dan",171.64,6949,"Jordyn Brooks",6.5,"LB2",2021
"1238",1,"Mingo",7,1,190.36,4,"Dan",171.64,2338,"Landon Collins",10.25,"DB1",2021
"1239",1,"Mingo",7,1,190.36,4,"Dan",171.64,3233,"Kevin Byard",9,"DB2",2021
"1240",1,"Mingo",7,1,190.36,4,"Dan",171.64,2501,"Quandre Diggs",6.25,"DB3",2021
"1241",1,"Mingo",7,1,190.36,4,"Dan",171.64,6880,"Logan Wilson",9.5,"DFLEX",2021
"1242",2,"Tim",7,4,182.09,3,"Josh",185.68,6904,"Jalen Hurts",27.54,"QB",2021
"1243",2,"Tim",7,4,182.09,3,"Josh",185.68,7607,"Michael Carter",12.4,"RB1",2021
"1244",2,"Tim",7,4,182.09,3,"Josh",185.68,3327,"Alex Collins",4.9,"RB2",2021
"1245",2,"Tim",7,4,182.09,3,"Josh",185.68,4351,"Tim Patrick",2.6,"WR1",2021
"1246",2,"Tim",7,4,182.09,3,"Josh",185.68,3225,"Tyler Boyd",5.9,"WR2",2021
"1247",2,"Tim",7,4,182.09,3,"Josh",185.68,7571,"Rashod Bateman",9.5,"WR3",2021
"1248",2,"Tim",7,4,182.09,3,"Josh",185.68,7553,"Kyle Pitts",19.8,"TE",2021
"1249",2,"Tim",7,4,182.09,3,"Josh",185.68,7601,"Rondale Moore",2.7,"FLEX",2021
"1250",2,"Tim",7,4,182.09,3,"Josh",185.68,4227,"Harrison Butker",3,"K",2021
"1251",2,"Tim",7,4,182.09,3,"Josh",185.68,6124,"Montez Sweat",15,"DL1",2021
"1252",2,"Tim",7,4,182.09,3,"Josh",185.68,3256,"Javon Hargrave",6.25,"DL2",2021
"1253",2,"Tim",7,4,182.09,3,"Josh",185.68,3222,"Deion Jones",27.75,"LB1",2021
"1254",2,"Tim",7,4,182.09,3,"Josh",185.68,4110,"Zach Cunningham",3.25,"LB2",2021
"1255",2,"Tim",7,4,182.09,3,"Josh",185.68,4056,"Jabrill Peppers",12,"DB1",2021
"1256",2,"Tim",7,4,182.09,3,"Josh",185.68,1576,"Tyrann Mathieu",7,"DB2",2021
"1257",2,"Tim",7,4,182.09,3,"Josh",185.68,4071,"Marlon Humphrey",18.25,"DB3",2021
"1258",2,"Tim",7,4,182.09,3,"Josh",185.68,856,"J.J. Watt",4.25,"DFLEX",2021
"1259",3,"Josh",7,4,185.68,2,"Tim",182.09,4881,"Lamar Jackson",25.08,"QB",2021
"1260",3,"Josh",7,4,185.68,2,"Tim",182.09,3969,"Leonard Fournette",16,"RB1",2021
"1261",3,"Josh",7,4,185.68,2,"Tim",182.09,6790,"D'Andre Swift",24.4,"RB2",2021
"1262",3,"Josh",7,4,185.68,2,"Tim",182.09,1352,"Robert Woods",12,"WR1",2021
"1263",3,"Josh",7,4,185.68,2,"Tim",182.09,2197,"Brandin Cooks",4.6,"WR2",2021
"1264",3,"Josh",7,4,185.68,2,"Tim",182.09,1535,"Cordarrelle Patterson",13.1,"WR3",2021
"1265",3,"Josh",7,4,185.68,2,"Tim",182.09,5285,"Ross Dwelley",1,"TE",2021
"1266",3,"Josh",7,4,185.68,2,"Tim",182.09,5000,"Chase Edmonds",10.75,"FLEX",2021
"1267",3,"Josh",7,4,185.68,2,"Tim",182.09,17,"Matt Prater",7,"K",2021
"1268",3,"Josh",7,4,185.68,2,"Tim",182.09,3197,"Emmanuel Ogbah",9.25,"DL1",2021
"1269",3,"Josh",7,4,185.68,2,"Tim",182.09,871,"Von Miller",3,"DL2",2021
"1270",3,"Josh",7,4,185.68,2,"Tim",182.09,6220,"Cole Holcomb",6.5,"LB1",2021
"1271",3,"Josh",7,4,185.68,2,"Tim",182.09,2617,"Alex Singleton",12.25,"LB2",2021
"1272",3,"Josh",7,4,185.68,2,"Tim",182.09,444,"Malcolm Jenkins",13,"DB1",2021
"1273",3,"Josh",7,4,185.68,2,"Tim",182.09,6888,"Antoine Winfield",12.25,"DB2",2021
"1274",3,"Josh",7,4,185.68,2,"Tim",182.09,4427,"Kenny Moore",7.75,"DB3",2021
"1275",3,"Josh",7,4,185.68,2,"Tim",182.09,4118,"Alex Anzalone",7.75,"DFLEX",2021
"1276",4,"Dan",7,1,171.64,1,"Mingo",190.36,4046,"Patrick Mahomes",6.74,"QB",2021
"1277",4,"Dan",7,1,171.64,1,"Mingo",190.36,3198,"Derrick Henry",17.4,"RB1",2021
"1278",4,"Dan",7,1,171.64,1,"Mingo",190.36,4018,"Joe Mixon",11.9,"RB2",2021
"1279",4,"Dan",7,1,171.64,1,"Mingo",190.36,3321,"Tyreek Hill",9.7,"WR1",2021
"1280",4,"Dan",7,1,171.64,1,"Mingo",190.36,5846,"DK Metcalf",16.6,"WR2",2021
"1281",4,"Dan",7,1,171.64,1,"Mingo",190.36,4037,"Chris Godwin",21.1,"WR3",2021
"1282",4,"Dan",7,1,171.64,1,"Mingo",190.36,5857,"Noah Fant",6.4,"TE",2021
"1283",4,"Dan",7,1,171.64,1,"Mingo",190.36,947,"Julio Jones",4.8,"FLEX",2021
"1284",4,"Dan",7,1,171.64,1,"Mingo",190.36,4666,"Younghoe Koo",12,"K",2021
"1285",4,"Dan",7,1,171.64,1,"Mingo",190.36,3973,"Myles Garrett",9.75,"DL1",2021
"1286",4,"Dan",7,1,171.64,1,"Mingo",190.36,2227,"Aaron Donald",3.25,"DL2",2021
"1287",4,"Dan",7,1,171.64,1,"Mingo",190.36,3363,"Kamu Grugier-Hill",6.5,"LB1",2021
"1288",4,"Dan",7,1,171.64,1,"Mingo",190.36,4990,"Darius Leonard",11.25,"LB2",2021
"1289",4,"Dan",7,1,171.64,1,"Mingo",190.36,5864,"Byron Murphy",4,"DB1",2021
"1290",4,"Dan",7,1,171.64,1,"Mingo",190.36,6872,"Kyle Dugger",17,"DB2",2021
"1291",4,"Dan",7,1,171.64,1,"Mingo",190.36,5017,"Jessie Bates",9.25,"DB3",2021
"1292",4,"Dan",7,1,171.64,1,"Mingo",190.36,6837,"Terrell Lewis",4,"DFLEX",2021
"1293",5,"Parker",7,2,206.94,11,"Collin",162.39,167,"Tom Brady",32.44,"QB",2021
"1294",5,"Parker",7,2,206.94,11,"Collin",162.39,7608,"Khalil Herbert",15.8,"RB1",2021
"1295",5,"Parker",7,2,206.94,11,"Collin",162.39,7609,"Demetric Felton",4.9,"RB2",2021
"1296",5,"Parker",7,2,206.94,11,"Collin",162.39,2133,"Davante Adams",16.6,"WR1",2021
"1297",5,"Parker",7,2,206.94,11,"Collin",162.39,2078,"Odell Beckham",3.3,"WR2",2021
"1298",5,"Parker",7,2,206.94,11,"Collin",162.39,1992,"Allen Robinson",3.85,"WR3",2021
"1299",5,"Parker",7,2,206.94,11,"Collin",162.39,4993,"Mike Gesicki",18,"TE",2021
"1300",5,"Parker",7,2,206.94,11,"Collin",162.39,5844,"T.J. Hockenson",7.8,"FLEX",2021
"1301",5,"Parker",7,2,206.94,11,"Collin",162.39,5095,"Daniel Carlson",7,"K",2021
"1302",5,"Parker",7,2,206.94,11,"Collin",162.39,5030,"Harold Landry",8.25,"DL1",2021
"1303",5,"Parker",7,2,206.94,11,"Collin",162.39,2036,"Khalil Mack",1.25,"DL2",2021
"1304",5,"Parker",7,2,206.94,11,"Collin",162.39,2353,"Denzel Perryman",11,"LB1",2021
"1305",5,"Parker",7,2,206.94,11,"Collin",162.39,6119,"Devin White",14.5,"LB2",2021
"1306",5,"Parker",7,2,206.94,11,"Collin",162.39,4133,"John Johnson",9.5,"DB1",2021
"1307",5,"Parker",7,2,206.94,11,"Collin",162.39,7016,"Jeremy Chinn",11,"DB2",2021
"1308",5,"Parker",7,2,206.94,11,"Collin",162.39,544,"Kareem Jackson",9.75,"DB3",2021
"1309",5,"Parker",7,2,206.94,11,"Collin",162.39,1052,"Demario Davis",32,"DFLEX",2021
"1310",6,"Frazier",7,6,196.56,12,"Riley",140.44,7591,"Justin Fields",-1.84,"QB",2021
"1311",6,"Frazier",7,6,196.56,12,"Riley",140.44,7561,"Elijah Mitchell",16.7,"RB1",2021
"1312",6,"Frazier",7,6,196.56,12,"Riley",140.44,3664,"J.D. McKissic",7.6,"RB2",2021
"1313",6,"Frazier",7,6,196.56,12,"Riley",140.44,7564,"Ja'Marr Chase",30.1,"WR1",2021
"1314",6,"Frazier",7,6,196.56,12,"Riley",140.44,4036,"Corey Davis",12.7,"WR2",2021
"1315",6,"Frazier",7,6,196.56,12,"Riley",140.44,4983,"DJ Moore",10.3,"WR3",2021
"1316",6,"Frazier",7,6,196.56,12,"Riley",140.44,5012,"Mark Andrews",6.3,"TE",2021
"1317",6,"Frazier",7,6,196.56,12,"Riley",140.44,5022,"Dallas Goedert",10.5,"FLEX",2021
"1318",6,"Frazier",7,6,196.56,12,"Riley",140.44,7839,"Evan McPherson",13,"K",2021
"1319",6,"Frazier",7,6,196.56,12,"Riley",140.44,4999,"Josh Sweat",3.75,"DL1",2021
"1320",6,"Frazier",7,6,196.56,12,"Riley",140.44,5839,"Rashan Gary",22.75,"DL2",2021
"1321",6,"Frazier",7,6,196.56,12,"Riley",140.44,7647,"Pete Werner",7,"LB1",2021
"1322",6,"Frazier",7,6,196.56,12,"Riley",140.44,6485,"Azeez Al-Shaair",11.2,"LB2",2021
"1323",6,"Frazier",7,6,196.56,12,"Riley",140.44,5860,"Johnathan Abram",8.5,"DB1",2021
"1324",6,"Frazier",7,6,196.56,12,"Riley",140.44,5882,"Taylor Rapp",3.75,"DB2",2021
"1325",6,"Frazier",7,6,196.56,12,"Riley",140.44,3160,"Jalen Ramsey",16.5,"DB3",2021
"1326",6,"Frazier",7,6,196.56,12,"Riley",140.44,4960,"Roquan Smith",17.75,"DFLEX",2021
"1327",7,"Carter",7,5,135.09,9,"Calvin",225.1,5849,"Kyler Murray",26.44,"QB",2021
"1328",7,"Carter",7,5,135.09,9,"Calvin",225.1,5890,"Damien Harris",24.3,"RB1",2021
"1329",7,"Carter",7,5,135.09,9,"Calvin",225.1,2161,"Jerick McKinnon",3.95,"RB2",2021
"1330",7,"Carter",7,5,135.09,9,"Calvin",225.1,7526,"Jaylen Waddle",13.05,"WR1",2021
"1331",7,"Carter",7,5,135.09,9,"Calvin",225.1,6803,"Brandon Aiyuk",1.4,"WR2",2021
"1332",7,"Carter",7,5,135.09,9,"Calvin",225.1,2410,"Jamison Crowder",5.4,"WR3",2021
"1333",7,"Carter",7,5,135.09,9,"Calvin",225.1,4033,"David Njoku",2.8,"TE",2021
"1334",7,"Carter",7,5,135.09,9,"Calvin",225.1,6798,"Jalen Reagor",9.5,"FLEX",2021
"1335",7,"Carter",7,5,135.09,9,"Calvin",225.1,650,"Nick Folk",13,"K",2021
"1336",7,"Carter",7,5,135.09,9,"Calvin",225.1,2130,"Kyle Van Noy",4.75,"DL1",2021
"1337",7,"Carter",7,5,135.09,9,"Calvin",225.1,125,"Calais Campbell",8.75,"DL2",2021
"1338",7,"Carter",7,5,135.09,9,"Calvin",225.1,5099,"Jermaine Carter",4.25,"LB1",2021
"1339",7,"Carter",7,5,135.09,9,"Calvin",225.1,5056,"Jerome Baker",0.75,"LB2",2021
"1340",7,"Carter",7,5,135.09,9,"Calvin",225.1,4081,"Budda Baker",2,"DB1",2021
"1341",7,"Carter",7,5,135.09,9,"Calvin",225.1,2445,"Adrian Amos",11.5,"DB2",2021
"1342",7,"Carter",7,5,135.09,9,"Calvin",225.1,4224,"Chuck Clark",2,"DB3",2021
"1343",7,"Carter",7,5,135.09,9,"Calvin",225.1,5466,"John Franklin-Myers",1.25,"DFLEX",2021
"1344",8,"Caleb",7,3,170.41,10,"Dave",232.55,2711,"Taylor Heinicke",21.22,"QB",2021
"1345",8,"Caleb",7,3,170.41,10,"Dave",232.55,6151,"Miles Sanders",3.2,"RB1",2021
"1346",8,"Caleb",7,3,170.41,10,"Dave",232.55,6945,"Antonio Gibson",6.6,"RB2",2021
"1347",8,"Caleb",7,3,170.41,10,"Dave",232.55,5872,"Deebo Samuel",17.5,"WR1",2021
"1348",8,"Caleb",7,3,170.41,10,"Dave",232.55,830,"A.J. Green",8.1,"WR2",2021
