"","roster_id","team","year","wk","matchup_id","points","opp_id","opp_team","opp_points","starters","full_name","starters_points","starter_slot"
"51",3,"Josh",2019,1,5,171.76,9,"Calvin",169.32,5017,"Jessie Bates",5,"DB3"
"52",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,4046,"Patrick Mahomes",27.32,"QB"
"53",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,1408,"Le'Veon Bell",17.2,"RB1"
"54",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,3969,"Leonard Fournette",7.4,"RB2"
"55",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,3321,"Tyreek Hill",2.1,"WR1"
"56",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,1992,"Allen Robinson",10.2,"WR2"
"57",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,5846,"DK Metcalf",8.9,"WR3"
"58",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,616,"Jimmy Graham",9,"TE"
"59",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,3198,"Derrick Henry",27.9,"FLEX"
"60",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,5056,"Jerome Baker",9,"DFLEX"
"61",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,17,"Matt Prater",11,"K"
"62",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,2368,"Frank Clark",7,"DL1"
"63",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,2393,"Danielle Hunter",8,"DL2"
"64",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,4960,"Roquan Smith",5,"LB1"
"65",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,4968,"Tremaine Edmunds",9,"LB2"
"66",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,4081,"Budda Baker",8,"DB1"
"67",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,4974,"Terrell Edmunds",7,"DB2"
"68",4,"Dan",2019,1,2,181.02,2,"Tim",188.52,4056,"Jabrill Peppers",7,"DB3"
"69",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,1234,"Russell Wilson",16.6,"QB"
"70",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,4988,"Nick Chubb",8.5,"RB1"
"71",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,1848,"James White",8.2,"RB2"
"72",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,1426,"DeAndre Hopkins",24.1,"WR1"
"73",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,2133,"Davante Adams",3.6,"WR2"
"74",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,4146,"Dede Westbrook",10.2,"WR3"
"75",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,284,"Delanie Walker",17.5,"TE"
"76",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,4455,"Matt Breida",3.7,"FLEX"
"77",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,1052,"Demario Davis",5,"DFLEX"
